Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_ppm,reported_CO2_low,reported_CO2_high,reported_S_ppm,S_used,Notes
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",290.4,,,1700,mean,530,2497,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,1700,530,2497,2000,2000,sandy calcisols; S(z) based on Montanez (2012)
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",290.4,,,419,mean,131,616,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,1700,530,2497,7500,1850,"calcic Vertisols, Aridisols, Alfisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",290.2,,,411,mean,96,538,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,1513,353,1984,7000,1900,"Vertisols, Histosols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",289.9,,,620,mean,102,770,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,1240,204,1541,4000,2000,Aridisols; S(z) based on Montanez (2012)
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",289.4,,,182,mean,11,353,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,514,31,997,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",288.9,,,183,mean,24,342,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,516,69,964,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",287.4,,,397,mean,249,544,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,1501,942,2060,7000,1850,"calcic Alfisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",287.0,,,1030,mean,676,1396,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2060,1351,2792,4000,2000,Aridisols; S(z) based on Montanez (2012)
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",286.9,,,1449,mean,899,1999,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2173,1348,2999,3000,2000,muddy calcisols; S(z) based on Montanez (2012)
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",285.8,,,774,mean,465,1084,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2184,1311,3058,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",285.0,,,792,mean,460,1124,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2234,1298,3171,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",284.8,,,792,mean,460,1124,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2234,1298,3171,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",284.5,,,824,mean,480,1168,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2324,1355,3293,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",283.8,,,1012,mean,604,1419,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2854,1704,4003,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",283.4,,,1100,mean,679,1520,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,3102,1916,4288,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",282.4,,,899,mean,566,1233,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,2998,1886,4110,6500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",281.1,,,1248,mean,759,1737,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,3521,2142,4900,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Montañez et al., 2007","based on age model developed by authors (corrected to Gradstein et al., 2012; p. 639); no errors or context are provided",277.6,,,1237,mean,788,1685,16 and 84 percentiles; uncertainty based on Monte Carlo simulations,distribution not reported,3488,2224,4752,5500,1950,"calcic Vertisols, Aridisols; S(z) based on Montanez (2012)"
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,111,mean,56,222,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),222,0,722,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,544,mean,272,1088,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),816,316,1316,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,643,mean,322,1287,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),965,465,1465,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,13,mean,6,25,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),25,0,525,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,45,mean,23,90,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),90,0,590,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,372,mean,186,743,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),743,243,1243,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1667,mean,833,3333,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2500,2000,3000,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1702,mean,851,3404,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2553,2053,3053,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1596,mean,798,3192,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2394,1894,2894,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,344,mean,172,688,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),688,188,1188,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,269,mean,134,537,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),537,37,1037,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,377,mean,189,754,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),754,254,1254,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1443,mean,721,2885,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2164,1664,2664,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1191,mean,596,2383,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1787,1287,2287,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1349,mean,674,2697,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2023,1523,2523,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1678,mean,839,3356,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2517,2017,3017,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1295,mean,648,2591,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1943,1443,2443,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1516,mean,758,3032,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2274,1774,2774,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Late Norian,210.7,211.9,209.5,560,mean,280,1119,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1119,619,1619,4000,2000,Ghost Ranch section (Aridisol); Irmis et al (2011) provide a maximum age of 211.9 Ma for the base of the Ghost ranch; the Norian / Rhaetian boundary (209.5 Ma) is the upper age constraint
"Cleveland et al., 2008",Late Norian,211.8,214.0,209.5,1367,mean,684,2735,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2051,1551,2551,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1777,mean,888,3553,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2665,2165,3165,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1702,mean,851,3404,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2553,2053,3053,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1085,mean,542,2169,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1627,1127,2127,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1191,mean,596,2383,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1787,1287,2287,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,863,mean,431,1725,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1294,794,1794,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,661,mean,331,1322,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1322,822,1822,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1030,mean,515,2060,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1545,1045,2045,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,513,mean,257,1026,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1026,526,1526,4000,2000,Ghost Ranch section
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,623,mean,311,1245,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1245,745,1745,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1557,mean,778,3113,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2335,1835,2835,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1202,mean,601,2404,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2404,1904,2904,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1967,mean,983,3933,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2950,2450,3450,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1783,mean,891,3565,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2674,2174,3174,3000,2000,Montoya section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,880,mean,440,1759,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1759,1259,2259,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,843,mean,422,1686,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1686,1186,2186,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1619,mean,809,3237,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3237,2737,3737,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1214,mean,607,2427,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2427,1927,2927,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,614,mean,307,1227,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1227,727,1727,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1267,mean,634,2534,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2534,2034,3034,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,773,mean,387,1546,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1546,1046,2046,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,341,mean,171,682,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),682,182,1182,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,961,mean,481,1922,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1922,1422,2422,4000,2000,Ghost Ranch section (Aridisol)
"Cleveland et al., 2008",Rhaetian,205.4,209.5,201.3,1171,mean,586,2342,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2342,1842,2842,4000,2000,Ghost Ranch section (Aridisol)
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),12.8,,,273,mean,193,354,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),433,305,561,2967,1873,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),13.1,,,370,mean,187,553,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),519,262,776,1728,1232,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),13.8,,,190,mean,143,237,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),310,233,387,3564,2182,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),14.4,,,132,mean,86,178,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),203,133,273,2541,1653,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),14.7,,,74,mean,50,97,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),116,79,153,2837,1806,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),15.1,,,182,mean,131,233,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),291,209,373,3138,1961,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),15.6,,,473,mean,425,521,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),852,766,938,8981,4986,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),16.0,,,333,mean,281,385,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),579,489,669,5813,3346,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Retallack, 2009b (updated by Breecker & Retallack, 2014)",magnetostratigraphy (and some biostratigraphy),16.1,,,289,mean,231,346,+/- 1 standard error; uncertainty determined by Gaussian error propagation by quadrature,right skewed (mode < mean),487,390,584,4487,2660,"Aridisol; S(z) calculated with depth-to-Bk-horizon transfer equation of Retallack (2009b), updated here with the transfer function of Breecker and Retallack (2014)"
"Leier et al., 2009",earliest Late Cretaceous,95.3,100.5,90.0,1307,mean,654,2614,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3268,1888,4648,5000,2000,
"Leier et al., 2009",latest early Cretaceous (Aptian to Albian?),113.4,126.3,100.5,591,mean,296,1182,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1478,418,2538,5000,2000,
"Schaller et al., 2011",magnetostratigraphy (Newark Basin),200.4,,,1664,mean,832,3328,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2496,1664,3328,3000,2000,Vertisols; S(z) assumed here to be similar to what is calculated for the Schaller et al. 2012 study
"Schaller et al., 2011",magnetostratigraphy (Newark Basin),200.5,,,2087,mean,1044,4175,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3131,2087,4175,3000,2000,Vertisols; S(z) assumed here to be similar to what is calculated for the Schaller et al. 2012 study
"Schaller et al., 2011",magnetostratigraphy (Newark Basin),200.9,,,3515,mean,1758,7031,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),5273,3516,7030,3000,2000,Vertisols; S(z) assumed here to be similar to what is calculated for the Schaller et al. 2012 study
"Schaller et al., 2011",magnetostratigraphy (Newark Basin),200.9,,,3294,mean,1647,6588,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),4941,3290,6592,3000,2000,Vertisols; S(z) assumed here to be similar to what is calculated for the Schaller et al. 2012 study
