age (Ma),ice extent,total,within 10,within 15,within 20,decay36 total,decay36 within 10,decay36 within 15,decay36 within 20,decay120 total,decay120 within 10,decay120 within 15,decay120 within 20,decay36_burial50 total,decay36_burial50 within 10,decay36_burial50 within 15,decay36_burial50 within 20,decay120_burial50 total,decay120_burial50 within 10,decay120_burial50 within 15,decay120_burial50 within 20,decay36_burial100 total,decay36_burial100 within 10,decay36_burial100 within 15,decay36_burial100 within 20,decay120_burial100 total,decay120_burial100 within 10,decay120_burial100 within 15,decay120_burial100 within 20
420,0.0,3478221.877015173,2430782.8713606196,3240472.1898957766,3409428.77056579,653993.4210332204,438306.9854367729,580865.3683589809,619347.2653933031,3411409.5092415037,2092258.479716441,2817007.382679013,3069382.0878649163,644111.4493146308,438306.9854367729,580865.3683589809,615110.492363468,3360501.7023262545,2092258.479716441,2817007.382679013,3048705.439774497,634229.4775960415,438306.9854367729,580865.3683589809,610873.7193336331,3309593.8954110052,2092258.479716441,2817007.382679013,3028028.791684078
415,0.0,3502501.4969294947,1616209.7838666418,2793277.140596739,3335433.590020832,597614.5020487368,266913.38754145,455753.2446344455,543097.2972327361,3321247.657265239,1398006.4217417596,2365233.4198798775,2891461.221480576,588633.9278159696,266913.38754145,455753.2446344455,543097.2972327361,3271929.7535651694,1398006.4217417596,2365233.4198798775,2891461.221480576,579653.3535832025,266913.38754145,455753.2446344455,543097.2972327361,3222611.8498651,1398006.4217417596,2365233.4198798775,2891461.221480576
410,0.0,3516811.5189882396,866317.8888781554,1900247.1749595352,2961745.9529462447,544912.3761389035,132301.2700636426,283743.8553899783,438293.9601304233,3241503.937178447,773497.3599641968,1621955.915566639,2464974.2597810607,536768.23543698,132301.2700636426,283743.8553899783,438293.9601304233,3193490.1851607333,773497.3599641968,1621955.915566639,2464974.2597810607,528624.0947350564,132301.2700636426,283743.8553899783,438293.9601304233,3145476.433143019,773497.3599641968,1621955.915566639,2464974.2597810607
405,0.0,3558700.922817859,518591.8400727123,1569174.5901479428,2787954.1411804985,500370.92968348216,68535.656645175,213294.13455536065,374608.1205451712,3168656.6775008924,467616.60368677706,1300024.8728557492,2210232.943867523,492959.628393063,68535.656645175,213294.13455536065,374608.1205451712,3121979.7719444702,467616.60368677706,1300024.8728557492,2210232.943867523,485548.3271026437,68535.656645175,213294.13455536065,374608.1205451712,3075302.8663880485,467616.60368677706,1300024.8728557492,2210232.943867523
400,0.0,3579402.184675859,291094.1063353828,1362415.9920435962,2563767.034563817,456771.6275254216,34837.482877587616,167718.57452822465,312762.61974393314,3086058.6561058746,296885.4615468087,1031545.5005147913,1936009.5829020892,450053.85211389215,34837.482877587616,167718.57452822465,312762.61974393314,3040814.9775949745,296885.4615468087,1031545.5005147913,1936009.5829020892,443336.0767023627,34837.482877587616,167718.57452822465,312762.61974393314,2995571.2990840743,296885.4615468087,1031545.5005147913,1936009.5829020892
395,0.0,3558324.3399170833,322921.04050348944,1321377.8952687732,2584266.565494758,412681.0201276136,35054.68968665723,144294.03527139992,286473.559063816,2991348.4937073207,305858.78615136055,999084.2586965538,1897556.3787323069,406579.8083889797,35054.68968665723,144294.03527139992,286473.559063816,2947320.984830504,305858.78615136055,999084.2586965538,1897556.3787323069,400478.59665034583,35054.68968665723,144294.03527139992,286473.559063816,2903293.4759536865,305858.78615136055,999084.2586965538,1897556.3787323069
390,0.0,3557804.5305563756,408308.00921484537,1398816.7215264826,2724146.9679773934,374693.22080452606,40210.62261805991,138389.0273405068,273847.8412136743,2911911.646066891,351156.67034815997,1031322.7873081047,1935561.8133270666,369151.98799472814,40210.62261805991,138389.0273405068,273847.8412136743,2869133.084411077,351156.67034815997,1031322.7873081047,1935561.8133270666,363610.75518493017,40210.62261805991,138389.0273405068,273847.8412136743,2826354.5227552634,351156.67034815997,1031322.7873081047,1935561.8133270666
385,0.0,3557804.530556393,381354.92667164677,1373764.7859612918,2703541.984117434,340418.577766585,34609.44311859949,124318.22807543073,243646.59708722756,2822354.122830061,387740.85176582355,1075942.2659098413,1901694.8122495548,335383.2434039824,34609.44311859949,124318.22807543073,243646.59708722756,2780894.742345484,387740.85176582355,1075942.2659098413,1901694.8122495548,330347.9090413797,34609.44311859949,124318.22807543073,243646.59708722756,2739435.3618609067,387740.85176582355,1075942.2659098413,1901694.8122495548
380,0.0,9470475.798318893,5260001.055373738,7157781.36264077,8684912.569936862,6221438.800986498,4901635.6526856255,5867599.4140782785,6139387.51564983,8666924.921492592,5318025.066433228,6862530.239778897,7831942.499737028,6216868.056627804,4901635.6526856255,5867599.4140782785,6139387.51564983,8626551.593125485,5318025.066433228,6862530.239778897,7831942.499737028,6212297.312269111,4901635.6526856255,5867599.4140782785,6139387.51564983,8586178.264758382,5318025.066433228,6862530.239778897,7831942.499737028
375,0.0,9407102.225351978,5138426.383896914,6809405.24697135,8239530.414689172,5638690.689370771,4557859.979885785,5332860.936941277,5536648.370235034,8384221.87964754,5250417.821610509,6565388.510034377,7408498.447066254,5634539.456448808,4557859.979885785,5332860.936941277,5536648.370235034,8345018.395859698,5250417.821610509,6565388.510034377,7408498.447066254,5630388.223526845,4557859.979885785,5332860.936941277,5536648.370235034,8305814.912071856,5250417.821610509,6565388.510034377,7408498.447066254
370,0.0,10540033.52994829,5136382.686326336,6524524.808130466,7795682.962240416,6195639.226862023,4216231.358947317,4861655.909333993,5014304.554316345,9263779.797657844,5200380.019399999,6313311.056240402,7031467.91313228,6191868.9999537645,4216231.358947317,4861655.909333993,5014304.554316345,9225672.45009476,5200380.019399999,6313311.056240402,7031467.91313228,6188098.773045507,4216231.358947317,4861655.909333993,5014304.554316345,9187565.102531672,5200380.019399999,6313311.056240402,7031467.91313228
365,10.0,10649376.898061968,5211332.580073194,6431354.69822094,7541841.870926613,5649142.363347808,3906264.9023587676,4448819.597373514,4555642.475453083,9055407.391058948,5136484.641598224,6138787.048898811,6747108.066182521,5645718.173712443,3906264.9023587676,4448819.597373514,4555642.475453083,9018377.51011099,5136484.641598224,6138787.048898811,6747108.066182521,5642293.984077076,3906264.9023587676,4448819.597373514,4555642.475453083,8981347.629163032,5136484.641598224,6138787.048898811,6747108.066182521
