age (Ma),natural decay total,natural decay within 15,natural decay outside 15,burial total,burial within 15,burial outside 15
225,2879703.2244504374,18375.121890139555,2861328.102560298,2879433.436130157,18105.333569859282,2861328.102560298
220,2626840.9895210583,8034.509076439746,2618806.4804446185,2626599.091448257,7792.61100363869,2618806.4804446185
215,2336060.5847434485,434.6754851959266,2335625.909258253,2335841.9958715746,216.0866133217536,2335625.909258253
210,2103757.331424624,8520.34402601443,2095236.9873986095,2103561.261402632,8324.27400402251,2095236.9873986095
205,1949103.5355111824,8802.464880780955,1940301.0706304016,1948926.538503854,8625.467873452562,1940301.0706304016
200,12873426.835999753,7573119.726760009,5300307.109239748,13109302.912061384,7733544.253217961,5375758.658843427
195,11465011.636960225,6842852.570273511,4622159.066686715,1580850.3986800201,7014.42981295352,1573835.9688670665
190,10478760.922284052,6073947.305061018,4404813.617223031,1472712.922200909,6290.428374512915,1466422.4938263958
185,8684479.702268908,4760100.421868871,3924379.2804000364,1259898.3210598843,4700.125616728951,1255198.1954431555
180,12064021.0251822,4846693.5057613775,7217327.519420824,4820473.896730595,0.0,4820473.896730595
175,10236639.463514788,4069910.709337493,6166728.754177296,4127219.3954171254,0.0,4127219.3954171254
170,10132370.538520433,4203531.626024927,5928838.912495507,4286551.696216616,0.0,4286551.696216616
165,8852630.489164464,3418282.979636835,5434347.509527633,3854021.711342618,0.0,3854021.711342618
160,8591413.974993085,3359801.652470997,5231612.32252209,3789640.774653746,0.0,3789640.774653746
155,7989681.580455354,3034256.285029469,4955425.295425886,3115134.510860085,0.0,3115134.510860085
150,7159035.130022988,2738995.5477515515,4420039.582271436,2810504.084965458,0.0,2810504.084965458
145,6419556.780426694,2445662.662058049,3973894.1183686457,2529890.2688232027,0.0,2529890.2688232027
140,5905855.176960085,2260269.2836571517,3645585.8933029324,2316744.9535414744,0.0,2316744.9535414744
135,8380129.763027,2113277.186819263,6266852.576207737,5131632.677567443,93219.4714392448,5038413.206128198
130,8178715.944703089,2377309.740182108,5801406.204520982,2638962.7383166216,641084.8133785806,1997877.9249380413
125,7285653.50894628,2254740.4577458827,5030913.051200396,2186302.8558663996,578167.3498068235,1608135.5060595768
120,6988530.783649955,2020713.7208948191,4967817.062755136,2410614.3299839785,519630.07394889137,1890984.256035087
115,6148358.620134256,1676735.775751812,4471622.844382443,2151838.027900674,467825.2655904251,1684012.7623102486
110,5510347.959737126,1501156.2486601723,4009191.711076953,1917620.8058759659,421185.16632691544,1496435.6395490502
105,5080293.36211202,1408613.5196163023,3671679.842495717,1746978.3196066122,379882.9392786552,1367095.380327957
100,4626759.481361626,1253301.2345223676,3373458.246839259,1624057.2302897025,341390.8340322197,1282666.396257483
95,7667410.467655077,1117610.0753495896,6549800.392305486,4949963.384852892,300092.6973066762,4649870.687546216
90,8024793.652838281,1444772.4731520726,6580021.179686208,5596787.888083604,711785.9361302175,4885001.951953387
85,7257773.329955416,1271008.3311957063,5986764.998759709,5081366.658439467,608800.3363057643,4472566.322133702
80,6527070.703985885,1127235.470368059,5399835.233617826,4551232.480593402,527233.9119195878,4023998.568673814
75,5865051.725492706,999411.1529281237,4865640.572564581,4088656.1673509963,460036.637768369,3628619.529582627
70,5296967.201987148,883663.8240253218,4413303.3779618265,3697592.8729539206,401680.7636003786,3295912.1093535423
65,5945971.345205353,772813.198341028,5173158.146864326,4518434.268924359,346949.6298158915,4171484.6391084697
60,6374604.992090147,786563.7235146748,5588041.268575475,4625165.089655802,413090.82805436134,4212074.26160144
55,5738688.791629757,1194917.6966225626,4543771.095007195,4193468.9666363955,822675.9986786239,3370792.967957772
50,5175907.979082732,1327038.3707010965,3848869.6083816355,3765427.442861122,735267.636805752,3030159.8060553703
45,4628317.139392172,1260972.8438459279,3367344.295546243,3358867.991224405,682830.7285272261,2676037.2626971784
40,4184240.0544218505,1153474.5087826287,3030765.545639221,3040605.4382631504,634791.9743154694,2405813.4639476817
35,3751693.1074855574,1034145.6923795617,2717547.4151059957,2739194.9398128,584669.0174083237,2154525.922404476
30,7144839.469034184,2362762.9511425323,4782076.517891651,6213829.836804021,1935201.9979376919,4278627.83886633
25,6430687.267528511,2034117.0181361304,4396570.249392381,5593900.8892403105,1647931.7228885847,3945969.1663517253
20,5537707.600547917,1496724.084136209,4040983.516411709,4783395.8536197,1148345.3662189315,3635050.4874007693
15,5919312.680243572,1469111.6575556435,4450201.022687931,5238675.118431443,1157428.124223827,4081246.9942076183
10,5263848.340597572,1210213.393355863,4053634.9472417096,4665420.281452908,949194.4598636236,3716225.821589283
5,4763949.141767986,1018493.8066789022,3745455.3350890833,4214149.143533048,775665.3277541954,3438483.815778852
0,4260264.777579464,850826.2508613383,3409438.5267181257,3766575.5027234624,638040.6133934942,3128534.8893299685
