Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
158.00,822.84,165.15,480.52,1234.76,1722.43
158.50,814.67,201.16,486.79,1202.27,1674.66
159.00,797.35,223.29,494.44,1169.64,1615.62
159.50,796.50,230.65,506.74,1132.27,1577.01
160.00,795.33,257.92,519.98,1113.88,1536.16
160.50,782.89,280.14,519.73,1110.67,1526.31
161.00,785.35,327.06,537.82,1103.64,1484.46
161.50,793.06,355.20,554.28,1105.92,1451.69
162.00,775.16,407.97,579.30,1111.05,1421.61
162.50,785.09,445.94,620.04,1121.36,1379.77
163.00,771.41,484.03,653.74,1128.87,1347.41
163.50,881.36,519.58,675.86,1135.23,1361.40
164.00,855.45,529.68,690.36,1142.74,1384.46
164.50,861.99,555.04,715.38,1156.32,1392.36
165.00,871.25,579.04,740.99,1156.63,1389.35
165.50,877.20,614.58,773.17,1161.22,1388.32
166.00,895.90,658.85,803.71,1166.72,1375.63
166.50,929.99,692.50,821.57,1175.09,1355.02
167.00,974.75,709.88,844.15,1186.90,1341.55
167.50,1004.32,717.87,856.27,1192.46,1344.47
168.00,1011.74,735.25,874.77,1194.43,1337.68
168.50,1029.62,748.08,887.37,1194.37,1323.74
169.00,1045.27,759.74,902.17,1190.17,1329.48
169.50,1041.41,761.08,903.91,1189.21,1323.07
170.00,1037.52,736.21,902.76,1198.95,1350.18
170.50,1029.03,739.56,895.22,1219.84,1384.06
171.00,1071.40,734.43,895.51,1231.69,1413.76
171.50,1064.67,720.61,887.68,1244.03,1451.62
172.00,1048.07,696.83,873.61,1260.53,1508.77
172.50,1043.98,650.99,854.28,1289.16,1569.38
173.00,1040.97,615.01,828.13,1312.55,1637.33
173.50,1027.70,582.27,808.45,1329.39,1718.12
174.00,1022.63,569.60,792.87,1345.36,1783.87
174.50,1018.11,550.83,787.99,1356.31,1826.13
175.00,1015.82,545.45,772.69,1360.79,1848.39
175.50,1012.49,530.82,764.25,1364.90,1844.10
176.00,1020.94,518.84,754.68,1366.69,1833.68
176.50,1015.73,506.27,747.76,1382.80,1856.58
177.00,1008.42,498.32,736.92,1374.70,1892.12
177.50,999.39,501.16,727.16,1357.36,1865.44
178.00,998.07,512.85,728.63,1341.62,1849.54
178.50,983.26,530.10,738.40,1315.96,1802.39
179.00,971.06,542.21,747.30,1299.84,1749.05
179.50,941.81,529.93,742.09,1285.47,1713.55
180.00,909.50,542.59,739.29,1265.09,1748.00
180.50,908.94,538.52,736.38,1256.04,1699.73
181.00,912.62,547.16,735.26,1241.65,1639.33
181.50,926.38,553.23,739.98,1229.50,1591.20
182.00,920.92,548.02,741.05,1210.24,1534.79
182.50,921.06,558.48,735.01,1185.36,1479.22
183.00,895.84,550.33,722.98,1186.92,1448.96
183.50,896.31,548.66,721.68,1185.25,1478.03
184.00,923.15,568.28,728.53,1190.58,1470.77
